condition,method,sample,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
full,Coarse-Prior,62,1.0,0.0,1.0,,
full,Coarse-Prior,63,1.0,0.0,1.0,,
full,Coarse-Prior,64,1.0,0.0,1.0,,
full,Coarse-Prior,65,1.0,0.0,1.0,,
full,Coarse-Prior,66,1.0,0.0,1.0,,
full,Coarse-Prior,67,1.0,0.0,1.0,,
full,Coarse-Prior,68,1.0,0.0,1.0,,
full,Coarse-Prior,69,1.0,0.0,1.0,,
full,Coarse-Prior,70,1.0,0.0,1.0,,
full,Coarse-Prior,71,1.0,0.0,1.0,,
full,Coarse-Prior,72,1.0,0.0,1.0,,
full,Coarse-Prior,73,1.0,0.0,1.0,,
full,Coarse-Prior,74,1.0,0.0,1.0,,
full,Coarse-Prior,75,1.0,0.0,1.0,,
full,Coarse-Prior,76,1.0,0.0,1.0,,
full,Coarse-Prior,77,1.0,0.0,1.0,,
full,Coarse-Prior,78,0.9666666388511658,0.03333336114883423,0.0,,
full,Coarse-Prior,79,1.0,0.0,1.0,,
full,Coarse-Prior,80,1.0,0.0,1.0,,
full,Coarse-Prior,81,1.0,0.0,1.0,,
full,Coarse-Prior,82,1.0,0.0,1.0,,
full,Coarse-Prior,83,1.0,0.0,1.0,,
full,Coarse-Prior,84,1.0,0.0,1.0,,
full,Coarse-Prior,85,1.0,0.0,1.0,,
full,Coarse-Prior,86,1.0,0.0,1.0,,
full,Coarse-Prior,87,0.9666666388511658,0.03333336114883423,0.0,,
full,Coarse-Prior,88,1.0,0.0,1.0,,
full,Coarse-Prior,89,1.0,0.0,1.0,,
full,Coarse-Prior,90,1.0,0.0,1.0,,
full,Coarse-Prior,91,1.0,0.0,1.0,,
full,Coarse-Prior,92,1.0,0.0,1.0,,
full,Coarse-Prior,93,1.0,0.0,1.0,,
full,Coarse-Prior,94,1.0,0.0,1.0,,
full,Coarse-Prior,95,1.0,0.0,1.0,,
full,Coarse-Prior,96,1.0,0.0,1.0,,
full,Coarse-Prior,97,1.0,0.0,1.0,,
full,Coarse-Prior,98,1.0,0.0,1.0,,
full,Coarse-Prior,99,1.0,0.0,1.0,,
full,Coarse-Prior,100,0.9666666388511658,0.03333336114883423,0.0,,
full,Coarse-Prior,101,1.0,0.0,1.0,,
full,Coarse-Prior,102,1.0,0.0,1.0,,
full,Coarse-Prior,103,1.0,0.0,1.0,,
full,Coarse-Prior,104,1.0,0.0,1.0,,
full,Coarse-Prior,105,1.0,0.0,1.0,,
full,Coarse-Prior,106,1.0,0.0,1.0,,
full,Coarse-Prior,107,1.0,0.0,1.0,,
full,Coarse-Prior,108,1.0,0.0,1.0,,
full,Coarse-Prior,109,1.0,0.0,1.0,,
full,Coarse-Prior,110,1.0,0.0,1.0,,
full,Coarse-Prior,111,1.0,0.0,1.0,,
full,Coarse-Prior,112,1.0,0.0,1.0,,
full,Coarse-Prior,113,1.0,0.0,1.0,,
full,Coarse-Prior,114,1.0,0.0,1.0,,
full,Coarse-Prior,115,1.0,0.0,1.0,,
full,Coarse-Prior,116,1.0,0.0,1.0,,
full,Coarse-Prior,117,1.0,0.0,1.0,,
full,Coarse-Prior,118,1.0,0.0,1.0,,
full,Coarse-Prior,119,0.9666666388511658,0.03333336114883423,0.0,,
full,Coarse-Prior,120,1.0,0.0,1.0,,
full,Coarse-Prior,121,1.0,0.0,1.0,,
full,Coarse-Prior,122,1.0,0.0,1.0,,
full,Coarse-Prior,123,1.0,0.0,1.0,,
full,Coarse-Prior,124,1.0,0.0,1.0,,
full,Coarse-Prior,125,1.0,0.0,1.0,,
full,Coarse-Prior,126,1.0,0.0,1.0,,
full,Coarse-Prior,127,1.0,0.0,1.0,,
full,Coarse-Prior,128,1.0,0.0,1.0,,
full,Coarse-Prior,129,1.0,0.0,1.0,,
full,Coarse-Prior,130,1.0,0.0,1.0,,
full,Coarse-Prior,131,1.0,0.0,1.0,,
full,Coarse-Prior,132,1.0,0.0,1.0,,
full,Coarse-Prior,133,1.0,0.0,1.0,,
full,Coarse-Prior,134,1.0,0.0,1.0,,
full,Coarse-Prior,135,1.0,0.0,1.0,,
full,Coarse-Prior,136,1.0,0.0,1.0,,
full,Coarse-Prior,137,1.0,0.0,1.0,,
full,Coarse-Prior,138,1.0,0.0,1.0,,
full,Coarse-Prior,139,1.0,0.0,1.0,,
full,Coarse-Prior,140,1.0,0.0,1.0,,
full,Coarse-Prior,141,1.0,0.0,1.0,,
full,Coarse-Prior,142,1.0,0.0,1.0,,
full,Coarse-Prior,143,1.0,0.0,1.0,,
full,Multi-View-Average,0,1.0,0.0,1.0,,
full,Multi-View-Average,1,1.0,0.0,1.0,,
full,Multi-View-Average,2,1.0,0.0,1.0,,
full,Multi-View-Average,3,1.0,0.0,1.0,,
full,Multi-View-Average,4,1.0,0.0,1.0,,
full,Multi-View-Average,5,1.0,0.0,1.0,,
full,Multi-View-Average,6,1.0,0.0,1.0,,
full,Multi-View-Average,7,1.0,0.0,1.0,,
full,Multi-View-Average,8,1.0,0.0,1.0,,
full,Multi-View-Average,9,1.0,0.0,1.0,,
full,Multi-View-Average,10,1.0,0.0,1.0,,
full,Multi-View-Average,11,1.0,0.0,1.0,,
full,Multi-View-Average,12,1.0,0.0,1.0,,
full,Multi-View-Average,13,1.0,0.0,1.0,,
full,Multi-View-Average,14,1.0,0.0,1.0,,
full,Multi-View-Average,15,1.0,0.0,1.0,,
full,Multi-View-Average,16,1.0,0.0,1.0,,
full,Multi-View-Average,17,1.0,0.0,1.0,,
full,Multi-View-Average,18,1.0,0.0,1.0,,
full,Multi-View-Average,19,1.0,0.0,1.0,,
full,Multi-View-Average,20,1.0,0.0,1.0,,
full,Multi-View-Average,21,1.0,0.0,1.0,,
full,Multi-View-Average,22,1.0,0.0,1.0,,
full,Multi-View-Average,23,1.0,0.0,1.0,,
full,Multi-View-Average,24,1.0,0.0,1.0,,
full,Multi-View-Average,25,1.0,0.0,1.0,,
full,Multi-View-Average,26,1.0,0.0,1.0,,
full,Multi-View-Average,27,1.0,0.0,1.0,,
full,Multi-View-Average,28,1.0,0.0,1.0,,
full,Multi-View-Average,29,1.0,0.0,1.0,,
full,Multi-View-Average,30,1.0,0.0,1.0,,
full,Multi-View-Average,31,1.0,0.0,1.0,,
full,Multi-View-Average,32,1.0,0.0,1.0,,
full,Multi-View-Average,33,1.0,0.0,1.0,,
full,Multi-View-Average,34,1.0,0.0,1.0,,
full,Multi-View-Average,35,1.0,0.0,1.0,,
full,Multi-View-Average,36,1.0,0.0,1.0,,
full,Multi-View-Average,37,0.9666666388511658,0.03333336114883423,0.0,,
full,Multi-View-Average,38,1.0,0.0,1.0,,
full,Multi-View-Average,39,1.0,0.0,1.0,,
full,Multi-View-Average,40,1.0,0.0,1.0,,
full,Multi-View-Average,41,1.0,0.0,1.0,,
full,Multi-View-Average,42,1.0,0.0,1.0,,
full,Multi-View-Average,43,1.0,0.0,1.0,,
full,Multi-View-Average,44,1.0,0.0,1.0,,
full,Multi-View-Average,45,1.0,0.0,1.0,,
full,Multi-View-Average,46,1.0,0.0,1.0,,
full,Multi-View-Average,47,1.0,0.0,1.0,,
full,Multi-View-Average,48,1.0,0.0,1.0,,
full,Multi-View-Average,49,1.0,0.0,1.0,,
full,Multi-View-Average,50,1.0,0.0,1.0,,
full,Multi-View-Average,51,1.0,0.0,1.0,,
full,Multi-View-Average,52,1.0,0.0,1.0,,
full,Multi-View-Average,53,1.0,0.0,1.0,,
full,Multi-View-Average,54,1.0,0.0,1.0,,
full,Multi-View-Average,55,1.0,0.0,1.0,,
full,Multi-View-Average,56,1.0,0.0,1.0,,
full,Multi-View-Average,57,1.0,0.0,1.0,,
full,Multi-View-Average,58,1.0,0.0,1.0,,
full,Multi-View-Average,59,1.0,0.0,1.0,,
full,Multi-View-Average,60,1.0,0.0,1.0,,
full,Multi-View-Average,61,1.0,0.0,1.0,,
full,Multi-View-Average,62,1.0,0.0,1.0,,
full,Multi-View-Average,63,1.0,0.0,1.0,,
full,Multi-View-Average,64,1.0,0.0,1.0,,
full,Multi-View-Average,65,1.0,0.0,1.0,,
full,Multi-View-Average,66,1.0,0.0,1.0,,
full,Multi-View-Average,67,1.0,0.0,1.0,,
full,Multi-View-Average,68,1.0,0.0,1.0,,
full,Multi-View-Average,69,1.0,0.0,1.0,,
full,Multi-View-Average,70,1.0,0.0,1.0,,
full,Multi-View-Average,71,1.0,0.0,1.0,,
full,Multi-View-Average,72,1.0,0.0,1.0,,
full,Multi-View-Average,73,1.0,0.0,1.0,,
full,Multi-View-Average,74,1.0,0.0,1.0,,
full,Multi-View-Average,75,1.0,0.0,1.0,,
full,Multi-View-Average,76,1.0,0.0,1.0,,
full,Multi-View-Average,77,1.0,0.0,1.0,,
full,Multi-View-Average,78,0.9666666388511658,0.03333336114883423,0.0,,
full,Multi-View-Average,79,1.0,0.0,1.0,,
full,Multi-View-Average,80,1.0,0.0,1.0,,
full,Multi-View-Average,81,1.0,0.0,1.0,,
