fallback_mode,threshold,condition,bit_accuracy,message_accuracy,dcss_usage_rate
average,0.1287,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1287,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1287,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1287,macro_average,0.7878703673680624,,
average,0.1288,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1288,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1288,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1288,macro_average,0.7878703673680624,,
average,0.1289,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1289,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1289,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1289,macro_average,0.7878703673680624,,
average,0.129,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.129,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.129,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.129,macro_average,0.7878703673680624,,
average,0.1291,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1291,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1291,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1291,macro_average,0.7878703673680624,,
average,0.12919999999999998,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.12919999999999998,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12919999999999998,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12919999999999998,macro_average,0.7878703673680624,,
average,0.1293,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1293,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1293,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1293,macro_average,0.7878703673680624,,
average,0.1294,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1294,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1294,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1294,macro_average,0.7878703673680624,,
average,0.1295,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1295,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1295,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1295,macro_average,0.7878703673680624,,
average,0.1296,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1296,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1296,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1296,macro_average,0.7878703673680624,,
average,0.12969999999999998,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.12969999999999998,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12969999999999998,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12969999999999998,macro_average,0.7878703673680624,,
average,0.1298,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1298,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1298,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1298,macro_average,0.7878703673680624,,
average,0.1299,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1299,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1299,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1299,macro_average,0.7878703673680624,,
average,0.13,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
